mmsi,event_id,flag,nearest_ais_km,unmatched,vessel_class,size_category,speed_knots,heading,turn_off,turn_on,lat,lon,label
626559330,9028,Gabon,124.0,False,cargo,medium,4.1,312.4,2024-09-24T11:00:00,2024-09-24T15:57:57.620199,43.5712,-17.4631,0
616958693,8577,Comoros,47.9,True,tanker,medium,11.3,103.0,2024-05-11T11:00:00,2024-05-11T17:24:40.338739,32.0813,-1.3206,0
440879731,3398,South Korea,72.6,False,cargo,small,13.3,167.5,2024-01-06T09:00:00,2024-01-06T11:32:08.730467,11.7311,-11.0351,0
626145546,3471,Gabon,184.1,False,tanker,VLCC,1.8,100.1,2024-03-03T01:00:00,2024-03-03T22:07:04.627310,16.1132,117.3088,1
237590123,16912,Greece,52.9,False,cargo,small,7.4,156.4,2024-06-11T21:00:00,2024-06-11T21:06:00,45.4027,140.6538,0
440128228,15957,South Korea,62.4,True,bulk_carrier,VLCC,7.1,48.7,2024-09-25T09:00:00,2024-09-25T11:53:35.066572,12.5933,115.6913,0
218916915,9448,Germany,66.8,False,cargo,small,7.6,138.1,2024-02-16T21:00:00,2024-02-17T05:32:29.614165,31.7518,7.2826,0
636999420,5497,Liberia,183.6,True,tanker,VLCC,3.8,88.5,2024-06-22T23:00:00,2024-06-23T16:50:32.208910,24.6214,57.3978,1
565161905,15089,Singapore,85.7,False,cargo,large,5.5,218.0,2024-01-09T15:00:00,2024-01-09T21:29:40.894307,40.5169,32.9087,0
616399013,8458,Comoros,61.6,False,cargo,medium,9.1,326.0,2024-03-22T03:00:00,2024-03-22T03:06:00,14.6226,117.2375,0
218311394,1245,Germany,99.2,False,cargo,large,4.9,4.4,2024-06-01T13:00:00,2024-06-01T13:06:00,31.7281,16.8785,0
616220921,2806,Comoros,68.4,True,passenger,large,7.1,29.8,2024-06-26T04:00:00,2024-06-26T12:39:36.002634,7.1026,112.175,1
563044579,7937,Singapore,111.2,False,cargo,medium,12.4,277.1,2024-10-27T12:00:00,2024-10-27T12:06:00,24.8839,74.0723,0
413934076,7692,China,13.6,False,tanker,large,13.5,108.5,2024-07-13T14:00:00,2024-07-13T18:51:22.109072,41.8387,11.5061,0
511449125,1354,Palau,35.4,True,tanker,small,8.0,279.2,2024-11-13T10:00:00,2024-11-13T11:43:01.403147,12.6066,-8.0987,0
232553175,1017,UK,78.1,False,bulk_carrier,small,11.3,184.4,2024-07-05T02:00:00,2024-07-05T09:08:21.606324,38.2711,3.2075,0
538277125,4060,Marshall Islands,192.9,True,tanker,large,4.5,306.4,2024-09-08T12:00:00,2024-09-10T00:07:23.306544,30.411,21.7204,1
235121725,14323,UK,36.4,False,cargo,large,12.0,39.9,2024-12-09T18:00:00,2024-12-09T21:23:56.810657,4.0024,57.5061,0
538480391,13234,Marshall Islands,2.0,False,cargo,medium,4.8,141.4,2024-05-26T07:00:00,2024-05-26T07:22:16.526491,3.6998,65.6096,0
626123698,641,Gabon,299.4,True,tanker,large,1.5,67.0,2024-05-31T10:00:00,2024-06-01T11:27:13.983371,45.7588,36.7436,1
237001522,416,Greece,84.7,False,container,medium,10.9,74.8,2024-06-17T07:00:00,2024-06-17T07:06:00,-4.9293,-0.1821,0
218896362,204,Germany,60.2,False,bulk_carrier,large,13.3,272.2,2024-10-18T20:00:00,2024-10-19T00:03:38.064553,35.903,-5.3245,0
441430398,17062,South Korea,51.4,False,cargo,large,6.4,329.4,2024-06-03T14:00:00,2024-06-03T18:17:56.267932,41.3057,26.7844,0
564519531,2879,Singapore,50.9,False,bulk_carrier,VLCC,21.3,73.4,2024-06-09T18:00:00,2024-06-09T18:26:24.186810,20.9872,114.7069,0
511349860,4974,Palau,131.2,True,tanker,large,6.0,88.3,2024-12-19T04:00:00,2024-12-20T01:26:29.281049,35.0181,-29.0987,1
211883217,3272,Germany,2.0,False,cargo,VLCC,8.5,192.2,2024-06-04T04:00:00,2024-06-04T08:52:56.143688,50.5507,-23.7213,0
239353390,7239,Greece,84.2,False,bulk_carrier,medium,7.7,170.3,2024-07-20T02:00:00,2024-07-20T02:06:00,-0.1224,76.7404,0
440522351,19562,South Korea,39.3,False,tanker,large,12.7,23.6,2024-07-20T21:00:00,2024-07-20T21:06:00,6.8196,3.2384,0
440046574,16210,South Korea,2.0,False,cargo,small,12.5,262.2,2024-07-05T09:00:00,2024-07-05T14:00:23.844220,47.4076,-39.7493,0
432216896,15147,Japan,15.0,False,tanker,medium,16.1,290.6,2024-11-14T22:00:00,2024-11-14T22:40:54.118470,14.8737,2.4936,0
616968888,4820,Comoros,151.8,True,tanker,large,4.2,186.3,2024-07-13T15:00:00,2024-07-14T10:39:54.187001,40.5455,2.0838,1
239257892,5544,Greece,89.6,False,fishing,large,7.6,119.2,2024-06-25T19:00:00,2024-06-25T19:06:00,21.7521,70.7723,0
432351210,14714,Japan,81.2,False,bulk_carrier,medium,12.9,4.8,2024-09-27T11:00:00,2024-09-27T11:06:00,13.6488,0.2175,0
235129162,3877,UK,126.0,True,tanker,VLCC,2.7,289.9,2024-04-23T02:00:00,2024-04-23T17:14:06.715585,1.9961,-15.0308,1
219394294,1389,Denmark,187.6,False,cargo,VLCC,5.7,19.7,2024-12-19T14:00:00,2024-12-21T05:29:22.391028,44.8711,37.02,1
219977380,13376,Denmark,38.0,True,tanker,medium,13.4,214.3,2024-05-19T16:00:00,2024-05-19T16:06:00,17.2081,74.8305,0
235376686,2975,UK,62.6,False,tanker,medium,7.8,73.8,2024-11-25T21:00:00,2024-11-25T23:04:35.787813,51.3676,-25.407,0
626662108,1442,Gabon,295.7,True,tanker,large,3.4,288.3,2024-03-15T11:00:00,2024-03-15T16:30:03.442908,20.6591,64.5117,1
414824140,1887,China,82.6,False,cargo,large,8.3,47.5,2024-04-20T03:00:00,2024-04-20T03:06:00,35.2146,-2.1957,0
563592700,10093,Singapore,41.8,True,tanker,small,14.0,340.7,2024-07-10T12:00:00,2024-07-10T14:40:43.865418,41.4313,-26.4626,0
538559966,5036,Marshall Islands,198.3,False,tanker,VLCC,2.9,58.6,2024-04-28T09:00:00,2024-04-28T11:20:31.446008,46.476,141.0049,1
211606211,6732,Germany,56.6,False,tanker,medium,1.3,196.8,2024-01-25T17:00:00,2024-01-25T19:13:35.096372,34.3997,1.0946,0
432509320,4223,Japan,2.0,False,tanker,small,13.1,238.0,2024-11-03T12:00:00,2024-11-03T14:22:22.686650,0.0153,118.824,0
211228662,16917,Germany,2.0,False,cargo,large,17.3,50.6,2024-12-07T17:00:00,2024-12-07T19:51:55.845200,16.0722,110.6191,0
235735572,734,UK,153.7,True,tanker,medium,8.1,137.8,2024-05-03T18:00:00,2024-05-04T09:41:22.852197,36.0665,-5.0854,1
413256314,10608,China,89.4,False,bulk_carrier,small,10.3,93.0,2024-05-07T12:00:00,2024-05-07T15:36:11.175188,-4.4446,1.9593,0
538451326,17732,Marshall Islands,44.4,False,tanker,medium,4.9,256.7,2024-05-15T17:00:00,2024-05-16T00:16:33.982174,10.5175,0.5271,0
636042922,5505,Liberia,251.0,False,tanker,VLCC,0.0,56.1,2024-08-07T23:00:00,2024-08-07T23:30:00,75.7253,54.9878,1
220917489,9498,Denmark,76.8,False,cargo,large,4.4,305.0,2024-02-13T18:00:00,2024-02-13T22:34:55.099507,16.6074,77.3235,0
432775098,13648,Japan,2.0,False,cargo,VLCC,6.4,113.6,2024-06-23T16:00:00,2024-06-23T19:59:28.470773,40.3655,11.4283,0
353596500,2768,Panama,5.9,False,tanker,large,2.6,95.2,2024-01-13T07:00:00,2024-01-14T01:54:17.268733,36.4171,22.8349,1
637713418,4933,Liberia,207.2,True,tanker,large,1.1,6.7,2024-08-05T17:00:00,2024-08-06T12:35:55.593569,-5.5385,66.9172,1
511163422,10494,Palau,44.5,False,cargo,medium,11.6,149.9,2024-06-02T16:00:00,2024-06-02T16:06:00,4.6981,116.9436,0
626927043,10553,Gabon,98.0,False,tanker,large,5.5,206.8,2024-08-06T03:00:00,2024-08-06T03:06:00,-4.351,-12.6598,0
414191648,14578,China,134.9,True,container,medium,2.1,106.9,2024-02-19T21:00:00,2024-02-20T04:00:01.951195,10.3015,-8.3277,0
626924475,2326,Gabon,240.4,True,cargo,VLCC,5.8,84.6,2024-10-22T17:00:00,2024-10-23T16:49:45.427075,35.8729,-5.5817,1
441069234,16274,South Korea,83.4,False,container,medium,3.7,87.7,2024-08-19T09:00:00,2024-08-19T09:06:00,37.8647,5.1976,0
368021793,16724,USA,2.0,False,tanker,large,9.6,325.2,2024-09-28T15:00:00,2024-09-28T15:30:03.895280,10.2546,109.7967,0
303247604,5949,USA,74.8,False,container,large,8.1,255.0,2024-02-28T11:00:00,2024-02-28T11:06:00,49.4261,-10.7761,0
616046655,5118,Comoros,246.1,False,tanker,large,3.7,105.0,2024-01-07T03:00:00,2024-01-07T08:55:51.131935,37.2243,22.1605,1
616577433,906,Comoros,181.9,False,tanker,medium,4.8,287.3,2024-01-29T01:00:00,2024-01-29T06:13:10.083218,36.7356,22.9779,1
240961292,14727,Greece,59.3,False,cargo,large,9.0,141.7,2024-12-02T07:00:00,2024-12-02T08:49:45.562610,-3.7491,-0.1816,0
233987819,19512,UK,28.0,False,cargo,large,3.5,256.7,2024-03-11T03:00:00,2024-03-11T03:06:00,72.1918,25.8632,0
257211471,2659,Norway,96.5,False,tanker,large,11.1,283.5,2024-11-17T06:00:00,2024-11-17T06:06:00,37.5662,13.7226,0
431387609,8156,Japan,15.4,False,bulk_carrier,large,2.1,212.1,2024-09-15T00:00:00,2024-09-15T00:06:00,8.9779,107.0499,0
637141011,4422,Liberia,195.8,False,tanker,medium,6.2,175.6,2024-05-19T13:00:00,2024-05-19T13:30:00,68.2842,22.7366,1
636701469,2939,Liberia,65.8,False,tanker,medium,10.1,205.0,2024-02-24T17:00:00,2024-02-24T23:56:41.600841,39.5684,-0.5054,0
211883217,3270,Germany,27.3,False,cargo,VLCC,5.0,330.6,2024-11-27T13:00:00,2024-11-27T13:06:00,9.3936,73.8623,0
241971229,5366,Greece,72.5,False,cargo,small,16.9,257.2,2024-07-15T10:00:00,2024-07-15T14:51:07.430748,-2.2915,73.7799,0
674309416,1902,Tanzania,189.0,False,tanker,large,4.5,330.2,2024-05-13T19:00:00,2024-05-13T20:28:06.632927,0.3759,105.235,1
258068725,724,Norway,139.6,False,tanker,small,14.0,338.3,2024-10-14T06:00:00,2024-10-14T06:44:58.237531,39.2762,18.8278,0
431917770,18839,Japan,6.0,False,cargo,medium,9.0,50.8,2024-09-18T17:00:00,2024-09-18T18:12:11.607152,0.1343,116.4426,0
538997216,18850,Marshall Islands,42.4,True,fishing,large,7.7,282.4,2024-10-22T11:00:00,2024-10-22T11:15:17.608741,38.1438,-34.1925,0
237441554,8799,Greece,38.4,False,cargo,medium,12.6,216.4,2024-03-01T09:00:00,2024-03-01T09:06:00,9.0293,4.137,0
303307282,3236,USA,108.5,False,tanker,medium,5.7,91.2,2024-02-14T09:00:00,2024-02-14T13:17:41.323519,44.6075,39.8826,0
235718200,6206,UK,132.8,False,cargo,medium,4.9,262.8,2024-07-19T23:00:00,2024-07-20T00:21:36.491292,22.768,109.4681,0
432173538,19072,Japan,57.2,False,bulk_carrier,small,9.3,222.4,2024-07-22T23:00:00,2024-07-23T01:50:17.911771,11.3657,56.7506,0
